PlantCode,Biom/flwr,PlantName,LifeForm,LifeForm_Sneha,FlowerForm,FlowerForm_Sneha,FunctExclusion,ExclusionFeeble,ExclusionTubeClass,ExclusionTubePlantCode,generalShapeExclusion,SpecialistPollinators,SpecialistVectorsTBE,ExclusionClosed,ExclusionVisibility,EXVisible_Sneha,ExclusionPendant,ExclusionDiel,EXDiel_Sneha,ExclusionHandling,EXHandle_Sneha,ExclusionPlatform,ExclusionEtc,EdaphicCommunity,Compatibility,ImmigrationTraits
MIMUMOSC,0.7938,Mimulus moschatus,annual,A,exclusion (closed),exclusion,include all forcers,strong,tube-very wide-14,14,moderate exclusion,Mimulus,"Dufourea,Osmia",open access,bright,bright,erect,diurnal only,nonight,average,okay,not useful,nototribic,talus,self-compatible,standard
BRODCONG,39.375,Brodiaea congesta,bulb,A,"exclusion (tube, color)",exclusion,include only long-tongued,strong,tube-very wide-10,14,moderate exclusion,none,,open access,red/dark,notbright,erect,diurnal only,nonight,huge,difficult,not useful,none,forest ecotone,NA,standard
MIMUGUTT,0.7938,Mimulus guttatus,annual,A,exclusion (tiny),exclusion,"include all tiny, but only long-tongued",feeble,tube-wide-10/12,14,moderate exclusion,none,,closed,bright,bright,erect,diurnal only,nonight,tiny,difficult,not useful,nototribic,shallow soil,self-compatible,standard
MIMUTILi,7.623,Mimulus tilingii,herbaceous perennial,P,exclusion (closed),exclusion,include all forcers,strong,tube-wide-20,15,moderate exclusion,Mimulus,"Dufourea,Osmia",closed,bright,bright,erect,diurnal only,nonight,average,okay,not useful,nototribic,seep,NA,standard
DELPNUTT,61.74,Delphinium nuttallianum,bulb,A,exclusion (thick tubular) & exclusion (color),exclusion,include only hummingbird and Bombus,strong,tube-very wide-25,15,moderate exclusion,Delphinium,Bombus,open access,red/dark,notbright,erect,diurnal only,nonight,average,okay,not useful,none,seep,self-incompatible,standard
PENSCARD,10.647,Penstemon cardwellii,taprooted perennial,P,"exclusion (tibe wide, color)",exclusion,"include Bombus, hummers)",strong,tube-very wide-25,15,moderate exclusion,Penstemon big,"Anthocopa,Pseudomasaris",open access,red/dark,notbright,erect,diurnal only,nonight,average,okay,not useful,nototribic,both seep & talus,NA,standard
PRUNVULG,43.3125,Prunella vulgaris,herbaceous perennial,P,"exclusion (tube, color)",exclusion,include only long-tongued,strong,tube-wide-20,15,moderate exclusion,none,,open access,red/dark,notbright,erect,diurnal only,nonight,average,okay,not useful,nototribic,deep soil,self-compatible,standard
IPOMAGGR,21.2625,Ipomopsis aggregata,herbaceous perennial,P,exclusion (tubular) & exclusion (color),exclusion,include only long-tongued and Bombus,strong,tube-very wide-30,15,moderate exclusion,none,,open access,red/dark,notbright,erect,diurnal only,nonight,average,okay,not useful,none,forest ecotone,NA,standard
AQUIFORM,87.0912,Aquilegia formosa,taprooted perennial,P,exclusion (upside-down) & exclusion (thick tubular) & exclusion (color),exclusion,include only upside-down and hummingbird/Bombus,strong,tube-very wide-25,15,moderate exclusion,Aquilegia,"Andrena, Hummer",open access,red/dark,notbright,suspended,diurnal only,nonight,average,okay,not useful,none,seep,NA,standard
LATHNEVA,3.82725,Lathyrus nevadensis,herbaceous perennial,P,exclusion (closed),exclusion,include all forcers,strong,tube-wide-closed,16,severe exclusion,legumes,Osmia,closed,bright,bright,erect,diurnal only,nonight,average,okay,not useful,none,talus,self-incompatible,standard
DICEUNIF,0.635,Dicentra uniflora,bulb,A,exclusion (closed),exclusion,include all forcers,strong,tube-wide-closed,16,severe exclusion,none,Parnassius clodius,closed,dark,notbright,suspended,diurnal only,nonight,average,okay,not useful,none,deep soil,self-compatible,standard
VICIAMER,0.9568125,Vicia americana,bulb,A,exclusion (closed) & exclusion (color),exclusion,include Bombus,strong,tube-wide-closed,16,severe exclusion,legumes,"Osmia,Plebejus acmon, P. icaricioides, Erynnis perseus, Colias,Glaucopsyche lygdamus",closed,red/dark,notbright,erect,diurnal only,nonight,average,okay,not useful,none,talus,self-incompatible,standard
LUPILAXI,81.2109375,Lupinus laxiflorus,herbaceous perennial,P,exclusion (closed) & perhaps exclusion (color),exclusion,include all forcers,strong,tube-wide-closed,16,severe exclusion,"legumes, Judiola","Judiola,Osmia,LBB",closed,red/dark,notbright,erect,diurnal only,nonight,average,okay,not useful,none,deep soil,self-incompatible,standard
IRISCHRY,34.02,Iris chrysophylla,bulb,A,"exclusion (tube huge, closed)",exclusion,exclude closed,strong,tube-wide-closed,16,severe exclusion,none,,closed,bright,bright,erect,diurnal only,nonight,huge,difficult,not useful,nototribic,shallow soil,self-incompatible,standard
RUMEACET,0,Rumex acetosella,herbaceous perennial,P,wind,bowl/platform,none,feeble,none,17,close to bowl,none,,open access,bright,bright,erect,diurnal only,nonight,average,okay,not useful,none,shallow soil,NA,standard
CARESPXX,0,Carex sp X,herbaceous perennial,P,wind,bowl/platform,wind,feeble,none,17,close to bowl,none,,open access,bright,bright,erect,diurnal only,nonight,tiny,difficult,not useful,none,deep soil,NA,standard
TIARTRIF,0.002,Tiarella trifoliata,herbaceous perennial,P,exclusion (tiny),exclusion,exclude none,feeble,tube-wide-1 ,(10) 1,close to bowl,none,,open access,bright,bright,erect,nocturnal also,yesnight,average,okay,not useful,none,talus,NA,standard
ROMATHOM,0.015309,Romanzoffia thompsonii,annual,A,exclusion (tiny) & exclusion (thin tubular),exclusion,"include all tiny, but only long-tongued",feeble,tube-bell-2,(10) 1,close to bowl,none, ,open access,bright,bright,erect,diurnal only,nonight,tiny,difficult,not useful,none,seep,self-compatible,standard
